venta_id,fecha,cliente_id,producto_id,region,ciudad,segmento,categoria,subcategoria,cantidad,precio_unitario_cop,descuento_pct,subtotal_cop,costo_unitario_est_cop,margen_total_cop,tipo_venta,ejecutivo
48,2022-05-11,163,79,Eje Cafetero,Manizales,Empresa Industrial,Repuestos Automotrices,Frenos,1,1311979,0.0,1311979,709543,602436,Crédito 30 días,Ejecutivo 1
49,2022-05-22,203,85,Caribe,Santa Marta,Cadena de Ferreterías,Repuestos Automotrices,Lubricantes,33,97869,0.1,3229677,63121,1146684,Crédito 90 días,Ejecutivo 8
50,2022-03-06,211,71,Llanos,Villavicencio,Comercializadora Local,Repuestos Automotrices,Filtros,13,1290504,0.15,16776552,993314,3863470,Contado,Ejecutivo 3
51,2022-10-05,210,72,Llanos,Yopal,Constructora,Repuestos Automotrices,Filtros,36,817097,0.0,29415492,539819,9982008,Crédito 60 días,Ejecutivo 12
52,2024-05-10,45,93,Eje Cafetero,Armenia,Comercializadora Local,Repuestos Automotrices,Bujías,17,457155,0.1,7771635,279386,3022073,Crédito 30 días,Ejecutivo 15
53,2024-02-23,134,52,Pacífico,Buenaventura,Cadena de Ferreterías,Equipos Eléctricos,Cables,14,518497,0.1,7258958,351490,2338098,Crédito 30 días,Ejecutivo 15
54,2024-02-13,129,58,Pacífico,Pasto,Taller Automotriz,Equipos Eléctricos,Tableros,33,1030288,0.2,33999504,660122,12215478,Crédito 30 días,Ejecutivo 11
55,2022-09-30,193,43,Llanos,Yopal,Constructora,Equipos Eléctricos,Breakers,28,422870,0.2,11840360,349250,2061360,Crédito 30 días,Ejecutivo 6
56,2022-08-31,84,128,Pacífico,Pasto,Taller Automotriz,Tecnología y Seguridad,Control de acceso,31,299799,0.1,9293769,197625,3167394,Contado,Ejecutivo 9
57,2024-03-15,78,54,Llanos,Yopal,Comercializadora Local,Equipos Eléctricos,Cables,4,773583,0.05,3094332,444795,1315152,Crédito 30 días,Ejecutivo 12
58,2023-04-02,186,148,Pacífico,Pasto,Taller Automotriz,Materiales de Construcción,Aislantes,10,204128,0.2,2041280,162047,420810,Crédito 60 días,Ejecutivo 13
59,2022-02-16,127,29,Pacífico,Buenaventura,Taller Automotriz,Herramientas Industriales,Compresores,5,155845,0.05,779225,105404,252205,Crédito 90 días,Ejecutivo 8
60,2024-05-18,178,56,Caribe,Sincelejo,Contratista Eléctrico,Equipos Eléctricos,Cables,23,436854,0.05,10047642,321129,2661675,Crédito 30 días,Ejecutivo 14
61,2023-04-16,21,51,Llanos,Yopal,Cadena de Ferreterías,Equipos Eléctricos,Cables,16,84375,0.1,1350000,51113,532192,Contado,Ejecutivo 6
62,2022-11-14,60,63,Caribe,Valledupar,Empresa Industrial,Equipos Eléctricos,Tableros,23,413462,0.0,9509626,243643,3905837,Contado,Ejecutivo 15
63,2022-08-20,173,108,Santanderes,Barrancabermeja,Constructora,Tecnología y Seguridad,DVR,21,1124316,0.0,23610636,687292,9177504,Contado,Ejecutivo 11
64,2024-05-08,94,34,Caribe,Cartagena,Taller Automotriz,Equipos Eléctricos,Transformadores,27,310158,0.0,8374266,151615,4280661,Crédito 30 días,Ejecutivo 15
65,2022-02-02,120,64,Eje Cafetero,Armenia,Cadena de Ferreterías,Equipos Eléctricos,Tableros,19,1398541,0.15,26572279,908417,9312356,Contado,Ejecutivo 2
66,2022-07-26,95,67,Pacífico,Cali,Contratista Eléctrico,Repuestos Automotrices,Filtros,23,224962,0.0,5174126,141721,1914543,Crédito 30 días,Ejecutivo 8
67,2022-04-10,121,118,Llanos,Villavicencio,Constructora,Tecnología y Seguridad,Sensores,39,402716,0.0,15705924,221125,7082049,Contado,Ejecutivo 1
68,2024-04-03,142,87,Llanos,Arauca,Taller Automotriz,Repuestos Automotrices,Lubricantes,11,772646,0.05,8499106,507043,2921633,Crédito 30 días,Ejecutivo 9
69,2023-03-21,172,153,Caribe,Santa Marta,Comercializadora Local,Materiales de Construcción,Impermeabilizantes,33,1219128,0.2,40231224,740856,15782976,Crédito 60 días,Ejecutivo 13
70,2022-04-26,20,28,Pacífico,Popayán,Cadena de Ferreterías,Herramientas Industriales,Compresores,18,1177408,0.05,21193344,647025,9546894,Contado,Ejecutivo 5
71,2023-04-25,196,139,Llanos,Arauca,Empresa Industrial,Materiales de Construcción,Tuberías,2,1190626,0.2,2381252,807969,765314,Crédito 60 días,Ejecutivo 12
72,2023-10-16,51,41,Llanos,Arauca,Cadena de Ferreterías,Equipos Eléctricos,Breakers,32,1510451,0.05,48334432,930448,18560096,Crédito 30 días,Ejecutivo 13
73,2023-10-19,62,104,Caribe,Barranquilla,Constructora,Tecnología y Seguridad,Cámaras,20,178152,0.2,3563040,133412,894800,Contado,Ejecutivo 15
74,2022-10-21,88,118,Llanos,Yopal,Constructora,Tecnología y Seguridad,Sensores,27,362444,0.1,9785988,208495,4156623,Crédito 90 días,Ejecutivo 9
75,2023-03-29,201,89,Caribe,Valledupar,Cadena de Ferreterías,Repuestos Automotrices,Bujías,38,931750,0.2,35406500,682839,9458618,Crédito 30 días,Ejecutivo 5
76,2022-05-05,96,79,Caribe,Cartagena,Contratista Eléctrico,Repuestos Automotrices,Frenos,27,1311979,0.0,35423433,724396,15864741,Crédito 30 días,Ejecutivo 10
77,2022-12-25,187,19,Pacífico,Cali,Comercializadora Local,Herramientas Industriales,Sierras,32,420934,0.1,13469888,318862,3266304,Crédito 30 días,Ejecutivo 7
78,2024-10-12,8,76,Caribe,Sincelejo,Empresa Industrial,Repuestos Automotrices,Frenos,38,1212770,0.15,46085260,873599,12888498,Contado,Ejecutivo 6
79,2024-02-20,4,119,Santanderes,Bucaramanga,Contratista Eléctrico,Tecnología y Seguridad,Sensores,26,376422,0.1,9786972,309442,1741480,Crédito 60 días,Ejecutivo 6
80,2024-05-02,168,132,Santanderes,Barrancabermeja,Comercializadora Local,Materiales de Construcción,Adhesivos,35,221806,0.2,7763210,154737,2347415,Crédito 30 días,Ejecutivo 5
81,2024-02-10,43,3,Pacífico,Buenaventura,Contratista Eléctrico,Herramientas Industriales,Taladros,35,247863,0.05,8675205,166510,2847355,Contado,Ejecutivo 9
82,2024-08-27,205,125,Caribe,Cartagena,Comercializadora Local,Tecnología y Seguridad,Control de acceso,4,1733336,0.1,6933344,988035,2981204,Contado,Ejecutivo 4
83,2023-09-08,191,34,Santanderes,Cúcuta,Comercializadora Local,Equipos Eléctricos,Transformadores,38,279142,0.1,10607396,159231,4556618,Crédito 60 días,Ejecutivo 3
84,2024-08-06,131,124,Santanderes,Bucaramanga,Constructora,Tecnología y Seguridad,Control de acceso,26,821683,0.1,21363758,473769,9045764,Crédito 90 días,Ejecutivo 9
85,2024-04-25,57,27,Eje Cafetero,Manizales,Constructora,Herramientas Industriales,Compresores,25,1715629,0.1,42890725,993021,18065200,Crédito 90 días,Ejecutivo 9
86,2024-12-21,57,120,Eje Cafetero,Manizales,Constructora,Tecnología y Seguridad,Sensores,18,944761,0.05,17005698,709670,4231638,Contado,Ejecutivo 4
87,2023-06-07,52,99,Eje Cafetero,Pereira,Empresa Industrial,Tecnología y Seguridad,Cámaras,25,1483343,0.0,37083575,784621,17468050,Contado,Ejecutivo 11
88,2022-06-11,87,117,Pacífico,Cali,Constructora,Tecnología y Seguridad,Sensores,22,970248,0.05,21345456,641021,7242994,Crédito 90 días,Ejecutivo 14
89,2024-01-30,169,73,Pacífico,Pasto,Constructora,Repuestos Automotrices,Frenos,27,362565,0.15,9789255,323440,1056375,Contado,Ejecutivo 12
90,2023-01-26,58,62,Caribe,Sincelejo,Taller Automotriz,Equipos Eléctricos,Tableros,24,465351,0.05,11168424,351768,2725992,Contado,Ejecutivo 7
91,2022-03-22,37,143,Pacífico,Cali,Constructora,Materiales de Construcción,Tuberías,30,836169,0.0,25085070,641222,5848410,Crédito 60 días,Ejecutivo 4
92,2023-03-21,156,64,Pacífico,Pasto,Cadena de Ferreterías,Equipos Eléctricos,Tableros,11,1645343,0.0,18098773,788022,9430531,Crédito 30 días,Ejecutivo 14
93,2023-11-13,172,151,Caribe,Santa Marta,Comercializadora Local,Materiales de Construcción,Aislantes,29,106394,0.15,3085426,69771,1062067,Contado,Ejecutivo 15
94,2022-02-01,54,32,Caribe,Barranquilla,Cadena de Ferreterías,Herramientas Industriales,Compresores,12,1372837,0.0,16474044,881360,5897724,Contado,Ejecutivo 4
95,2022-08-29,81,154,Pacífico,Popayán,Cadena de Ferreterías,Materiales de Construcción,Impermeabilizantes,23,855247,0.0,19670681,553748,6934477,Crédito 60 días,Ejecutivo 13
96,2024-09-07,58,44,Caribe,Sincelejo,Taller Automotriz,Equipos Eléctricos,Breakers,34,1221320,0.1,41524880,761614,15630004,Crédito 90 días,Ejecutivo 12
97,2023-02-23,134,68,Pacífico,Buenaventura,Cadena de Ferreterías,Repuestos Automotrices,Filtros,12,1535237,0.0,18422844,959344,6910716,Crédito 30 días,Ejecutivo 4
98,2023-10-21,78,13,Llanos,Yopal,Comercializadora Local,Herramientas Industriales,Llaves,27,819356,0.1,22122612,511096,8323020,Crédito 60 días,Ejecutivo 7
99,2024-08-12,106,119,Caribe,Cartagena,Taller Automotriz,Tecnología y Seguridad,Sensores,14,376422,0.1,5269908,324814,722512,Crédito 30 días,Ejecutivo 6
100,2023-09-24,191,32,Santanderes,Cúcuta,Comercializadora Local,Herramientas Industriales,Compresores,11,1166911,0.15,12836021,919442,2722159,Contado,Ejecutivo 9
101,2024-10-15,198,99,Caribe,Santa Marta,Contratista Eléctrico,Tecnología y Seguridad,Cámaras,33,1409175,0.05,46502775,717386,22829037,Crédito 30 días,Ejecutivo 13
102,2024-08-19,187,38,Pacífico,Cali,Comercializadora Local,Equipos Eléctricos,Transformadores,31,1225360,0.1,37986160,744632,14902568,Crédito 60 días,Ejecutivo 6
103,2023-02-21,80,68,Pacífico,Pasto,Contratista Eléctrico,Repuestos Automotrices,Filtros,12,1535237,0.0,18422844,1018740,6197964,Crédito 30 días,Ejecutivo 7
104,2022-04-04,99,117,Pacífico,Popayán,Taller Automotriz,Tecnología y Seguridad,Sensores,27,919182,0.1,24817914,580538,9143388,Crédito 30 días,Ejecutivo 4
105,2022-10-26,58,32,Caribe,Sincelejo,Taller Automotriz,Herramientas Industriales,Compresores,37,1166911,0.15,43175707,843861,11952850,Contado,Ejecutivo 9
106,2024-05-05,105,49,Eje Cafetero,Pereira,Comercializadora Local,Equipos Eléctricos,Cables,1,859267,0.05,859267,507296,351971,Contado,Ejecutivo 4
107,2023-11-07,117,61,Eje Cafetero,Armenia,Taller Automotriz,Equipos Eléctricos,Tableros,34,1562444,0.05,53123096,877737,23280038,Contado,Ejecutivo 10
108,2023-05-19,65,58,Eje Cafetero,Pereira,Comercializadora Local,Equipos Eléctricos,Tableros,5,1094681,0.15,5473405,689379,2026510,Crédito 30 días,Ejecutivo 11
109,2023-11-23,44,52,Caribe,Cartagena,Contratista Eléctrico,Equipos Eléctricos,Cables,30,576108,0.0,17283240,341729,7031370,Contado,Ejecutivo 14
110,2024-09-27,158,18,Pacífico,Pasto,Cadena de Ferreterías,Herramientas Industriales,Sierras,10,1709700,0.1,17097000,1041158,6685420,Crédito 90 días,Ejecutivo 11
111,2024-10-01,65,6,Eje Cafetero,Pereira,Comercializadora Local,Herramientas Industriales,Taladros,13,75141,0.1,976833,43182,415467,Crédito 30 días,Ejecutivo 12
112,2023-12-23,147,101,Llanos,Yopal,Constructora,Tecnología y Seguridad,Cámaras,29,852404,0.1,24719716,678431,5045217,Contado,Ejecutivo 12
113,2024-09-27,170,36,Santanderes,Bucaramanga,Comercializadora Local,Equipos Eléctricos,Transformadores,14,1195573,0.0,16738022,809868,5399870,Contado,Ejecutivo 15
114,2022-05-01,119,38,Santanderes,Cúcuta,Taller Automotriz,Equipos Eléctricos,Transformadores,36,1361512,0.0,49014432,747697,22097340,Crédito 30 días,Ejecutivo 14
115,2022-06-02,57,158,Eje Cafetero,Manizales,Constructora,Materiales de Construcción,Impermeabilizantes,1,1425486,0.1,1425486,941291,484195,Crédito 90 días,Ejecutivo 11
116,2022-04-10,23,142,Santanderes,Bucaramanga,Comercializadora Local,Materiales de Construcción,Tuberías,17,483515,0.15,8219755,388057,1622786,Crédito 60 días,Ejecutivo 7
117,2022-10-09,131,95,Santanderes,Bucaramanga,Constructora,Repuestos Automotrices,Bujías,38,845913,0.0,32144694,518052,12458718,Crédito 60 días,Ejecutivo 4
118,2022-05-20,211,20,Llanos,Villavicencio,Comercializadora Local,Herramientas Industriales,Sierras,10,1179550,0.0,11795500,675066,5044840,Crédito 60 días,Ejecutivo 1
119,2023-03-24,61,93,Eje Cafetero,Pereira,Comercializadora Local,Repuestos Automotrices,Bujías,19,457155,0.1,8685945,266798,3616783,Crédito 30 días,Ejecutivo 6
120,2022-05-04,220,52,Santanderes,Cúcuta,Comercializadora Local,Equipos Eléctricos,Cables,9,518497,0.1,4666473,336913,1634256,Crédito 30 días,Ejecutivo 11
121,2024-09-16,37,105,Pacífico,Cali,Constructora,Tecnología y Seguridad,DVR,20,37753,0.0,755060,26741,220240,Crédito 30 días,Ejecutivo 1
122,2022-01-14,23,126,Santanderes,Bucaramanga,Comercializadora Local,Tecnología y Seguridad,Control de acceso,34,489403,0.05,16639702,325630,5568282,Crédito 30 días,Ejecutivo 7
123,2022-01-25,96,145,Caribe,Cartagena,Contratista Eléctrico,Materiales de Construcción,Aislantes,36,463696,0.15,16693056,337830,4531176,Contado,Ejecutivo 12
124,2023-07-17,199,16,Pacífico,Popayán,Contratista Eléctrico,Herramientas Industriales,Llaves,11,935018,0.0,10285198,594126,3749812,Crédito 30 días,Ejecutivo 5
125,2022-02-05,194,122,Caribe,Valledupar,Empresa Industrial,Tecnología y Seguridad,Control de acceso,6,1368606,0.1,8211636,929608,2633988,Crédito 30 días,Ejecutivo 12
126,2024-05-31,99,135,Pacífico,Popayán,Taller Automotriz,Materiales de Construcción,Adhesivos,37,597765,0.0,22117305,384806,7879483,Crédito 60 días,Ejecutivo 15
127,2023-01-03,96,142,Caribe,Cartagena,Contratista Eléctrico,Materiales de Construcción,Tuberías,8,511957,0.1,4095656,377856,1072808,Contado,Ejecutivo 2
128,2024-12-09,158,20,Pacífico,Pasto,Cadena de Ferreterías,Herramientas Industriales,Sierras,14,1061595,0.1,14862330,758262,4246662,Contado,Ejecutivo 4
129,2024-12-14,206,133,Eje Cafetero,Pereira,Taller Automotriz,Materiales de Construcción,Adhesivos,34,1434805,0.15,48783370,931929,17097784,Contado,Ejecutivo 6
130,2023-07-02,75,34,Eje Cafetero,Pereira,Comercializadora Local,Equipos Eléctricos,Transformadores,23,279142,0.1,6420266,160589,2726719,Crédito 60 días,Ejecutivo 2
131,2024-02-04,184,130,Eje Cafetero,Pereira,Comercializadora Local,Materiales de Construcción,Adhesivos,4,849457,0.0,3397828,601425,992128,Crédito 90 días,Ejecutivo 8
132,2023-05-14,190,105,Eje Cafetero,Manizales,Cadena de Ferreterías,Tecnología y Seguridad,DVR,14,32090,0.15,449260,26313,80878,Crédito 90 días,Ejecutivo 4
133,2023-09-07,129,74,Pacífico,Pasto,Taller Automotriz,Repuestos Automotrices,Frenos,6,973383,0.1,5840298,620252,2118786,Crédito 30 días,Ejecutivo 14
134,2022-06-15,214,95,Santanderes,Cúcuta,Contratista Eléctrico,Repuestos Automotrices,Bujías,29,845913,0.0,24531477,560003,8291390,Crédito 30 días,Ejecutivo 14
135,2022-03-06,27,22,Eje Cafetero,Pereira,Constructora,Herramientas Industriales,Sierras,7,109402,0.0,765814,57933,360283,Contado,Ejecutivo 7
136,2024-02-12,209,134,Caribe,Barranquilla,Taller Automotriz,Materiales de Construcción,Adhesivos,15,1330043,0.0,19950645,754466,8633655,Crédito 30 días,Ejecutivo 1
137,2022-01-20,158,52,Pacífico,Pasto,Cadena de Ferreterías,Equipos Eléctricos,Cables,2,547302,0.05,1094604,359718,375168,Crédito 60 días,Ejecutivo 2
138,2024-10-20,48,22,Llanos,Arauca,Taller Automotriz,Herramientas Industriales,Sierras,27,98461,0.1,2658447,57541,1104840,Crédito 60 días,Ejecutivo 11
139,2023-11-10,114,70,Caribe,Valledupar,Empresa Industrial,Repuestos Automotrices,Filtros,32,665482,0.15,21295424,418275,7910624,Crédito 30 días,Ejecutivo 14
140,2022-07-15,115,156,Pacífico,Popayán,Taller Automotriz,Materiales de Construcción,Impermeabilizantes,26,655004,0.0,17030104,472028,4757376,Crédito 60 días,Ejecutivo 15
141,2022-03-29,154,158,Llanos,Villavicencio,Comercializadora Local,Materiales de Construcción,Impermeabilizantes,29,1583874,0.0,45932346,878787,20447523,Contado,Ejecutivo 15
142,2024-08-31,191,115,Santanderes,Cúcuta,Comercializadora Local,Tecnología y Seguridad,Sensores,39,1646934,0.0,64230426,946268,27325974,Contado,Ejecutivo 15
143,2022-06-02,196,43,Llanos,Arauca,Empresa Industrial,Equipos Eléctricos,Breakers,12,528588,0.0,6343056,343907,2216172,Crédito 30 días,Ejecutivo 5
144,2022-03-09,133,13,Caribe,Valledupar,Contratista Eléctrico,Herramientas Industriales,Llaves,6,910396,0.0,5462376,477296,2598600,Contado,Ejecutivo 14
145,2023-10-07,5,146,Pacífico,Popayán,Empresa Industrial,Materiales de Construcción,Aislantes,27,71136,0.0,1920672,53538,475146,Contado,Ejecutivo 4
146,2022-10-23,76,109,Pacífico,Pasto,Contratista Eléctrico,Tecnología y Seguridad,DVR,19,651511,0.0,12378709,337401,5968090,Crédito 60 días,Ejecutivo 12
147,2024-03-26,189,105,Eje Cafetero,Manizales,Contratista Eléctrico,Tecnología y Seguridad,DVR,16,37753,0.0,604048,27198,168880,Crédito 90 días,Ejecutivo 5
148,2022-11-29,197,91,Santanderes,Barrancabermeja,Empresa Industrial,Repuestos Automotrices,Bujías,24,524073,0.0,12577752,342946,4347048,Crédito 30 días,Ejecutivo 10
149,2024-03-07,54,4,Caribe,Barranquilla,Cadena de Ferreterías,Herramientas Industriales,Taladros,20,154326,0.0,3086520,75019,1586140,Crédito 30 días,Ejecutivo 9
150,2023-11-11,6,16,Caribe,Barranquilla,Contratista Eléctrico,Herramientas Industriales,Llaves,30,841516,0.1,25245480,659917,5447970,Crédito 30 días,Ejecutivo 12
151,2022-10-14,91,139,Llanos,Yopal,Taller Automotriz,Materiales de Construcción,Tuberías,8,1488283,0.0,11906264,831596,5253496,Crédito 60 días,Ejecutivo 12
152,2022-06-10,115,96,Pacífico,Popayán,Taller Automotriz,Repuestos Automotrices,Bujías,19,225600,0.0,4286400,124810,1915010,Crédito 30 días,Ejecutivo 6
153,2022-04-20,21,4,Llanos,Yopal,Cadena de Ferreterías,Herramientas Industriales,Taladros,26,154326,0.0,4012476,81617,1890434,Contado,Ejecutivo 4
154,2022-06-05,59,154,Pacífico,Pasto,Cadena de Ferreterías,Materiales de Construcción,Impermeabilizantes,30,769722,0.1,23091660,587866,5455680,Contado,Ejecutivo 13
155,2024-03-23,198,71,Caribe,Santa Marta,Contratista Eléctrico,Repuestos Automotrices,Filtros,2,1442328,0.05,2884656,980288,924080,Crédito 90 días,Ejecutivo 6
156,2022-03-02,86,142,Llanos,Villavicencio,Comercializadora Local,Materiales de Construcción,Tuberías,5,483515,0.15,2417575,410798,363585,Crédito 30 días,Ejecutivo 13
