cliente_id,nombre_cliente,nit,segmento,region,ciudad,fecha_alta,tamano_cliente,estado
31,Cliente 031 Armenia,900000031,Comercializadora Local,Eje Cafetero,Armenia,2023-06-14,Mediano,Activo
32,Cliente 032 Bucaramanga,900000032,Taller Automotriz,Santanderes,Bucaramanga,2023-08-26,Pequeño,Activo
33,Cliente 033 Villavicencio,900000033,Cadena de Ferreterías,Llanos,Villavicencio,2023-10-09,Pequeño,Activo
34,Cliente 034 Cartagena,900000034,Constructora,Caribe,Cartagena,2022-03-14,Grande,Inactivo
35,Cliente 035 Villavicencio,900000035,Empresa Industrial,Llanos,Villavicencio,2022-05-16,Mediano,Activo
36,Cliente 036 Arauca,900000036,Contratista Eléctrico,Llanos,Arauca,2023-02-21,Pequeño,Activo
37,Cliente 037 Cali,900000037,Constructora,Pacífico,Cali,2023-02-25,Mediano,Activo
38,Cliente 038 Barrancabermeja,900000038,Constructora,Santanderes,Barrancabermeja,2022-04-11,Mediano,Inactivo
39,Cliente 039 Valledupar,900000039,Comercializadora Local,Caribe,Valledupar,2022-09-12,Pequeño,Inactivo
40,Cliente 040 Buenaventura,900000040,Cadena de Ferreterías,Pacífico,Buenaventura,2022-10-13,Mediano,Activo
41,Cliente 041 Bucaramanga,900000041,Constructora,Santanderes,Bucaramanga,2023-07-18,Mediano,Inactivo
42,Cliente 042 Barranquilla,900000042,Comercializadora Local,Caribe,Barranquilla,2022-04-06,Grande,Activo
43,Cliente 043 Buenaventura,900000043,Contratista Eléctrico,Pacífico,Buenaventura,2023-02-15,Mediano,Activo
44,Cliente 044 Cartagena,900000044,Contratista Eléctrico,Caribe,Cartagena,2023-04-11,Pequeño,Activo
45,Cliente 045 Armenia,900000045,Comercializadora Local,Eje Cafetero,Armenia,2023-07-24,Grande,Inactivo
46,Cliente 046 Bucaramanga,900000046,Taller Automotriz,Santanderes,Bucaramanga,2023-08-17,Pequeño,Inactivo
47,Cliente 047 Villavicencio,900000047,Comercializadora Local,Llanos,Villavicencio,2023-05-04,Pequeño,Activo
48,Cliente 048 Arauca,900000048,Taller Automotriz,Llanos,Arauca,2022-07-10,Pequeño,Activo
49,Cliente 049 Sincelejo,900000049,Constructora,Caribe,Sincelejo,2022-05-03,Mediano,Activo
50,Cliente 050 Villavicencio,900000050,Cadena de Ferreterías,Llanos,Villavicencio,2023-03-06,Mediano,Activo
51,Cliente 051 Arauca,900000051,Cadena de Ferreterías,Llanos,Arauca,2023-11-17,Pequeño,Activo
52,Cliente 052 Pereira,900000052,Empresa Industrial,Eje Cafetero,Pereira,2022-11-04,Pequeño,Activo
53,Cliente 053 Cúcuta,900000053,Constructora,Santanderes,Cúcuta,2023-07-31,Pequeño,Activo
54,Cliente 054 Barranquilla,900000054,Cadena de Ferreterías,Caribe,Barranquilla,2022-12-24,Pequeño,Activo
55,Cliente 055 Cartagena,900000055,Empresa Industrial,Caribe,Cartagena,2023-07-11,Pequeño,Activo
56,Cliente 056 Manizales,900000056,Comercializadora Local,Eje Cafetero,Manizales,2023-07-22,Mediano,Activo
57,Cliente 057 Manizales,900000057,Constructora,Eje Cafetero,Manizales,2022-04-29,Grande,Activo
58,Cliente 058 Sincelejo,900000058,Taller Automotriz,Caribe,Sincelejo,2022-12-18,Pequeño,Activo
59,Cliente 059 Pasto,900000059,Cadena de Ferreterías,Pacífico,Pasto,2022-02-22,Mediano,Inactivo
60,Cliente 060 Valledupar,900000060,Empresa Industrial,Caribe,Valledupar,2022-05-14,Pequeño,Activo
61,Cliente 061 Pereira,900000061,Comercializadora Local,Eje Cafetero,Pereira,2023-07-29,Mediano,Activo
62,Cliente 062 Barranquilla,900000062,Constructora,Caribe,Barranquilla,2022-06-02,Grande,Activo
63,Cliente 063 Villavicencio,900000063,Empresa Industrial,Llanos,Villavicencio,2022-05-11,Mediano,Activo
64,Cliente 064 Santa Marta,900000064,Empresa Industrial,Caribe,Santa Marta,2022-02-10,Grande,Activo
65,Cliente 065 Pereira,900000065,Comercializadora Local,Eje Cafetero,Pereira,2023-07-28,Pequeño,Activo
66,Cliente 066 Barrancabermeja,900000066,Comercializadora Local,Santanderes,Barrancabermeja,2022-06-16,Pequeño,Inactivo
67,Cliente 067 Popayán,900000067,Constructora,Pacífico,Popayán,2023-02-26,Pequeño,Inactivo
68,Cliente 068 Pasto,900000068,Taller Automotriz,Pacífico,Pasto,2022-02-09,Mediano,Activo
69,Cliente 069 Bucaramanga,900000069,Taller Automotriz,Santanderes,Bucaramanga,2022-11-09,Grande,Activo
70,Cliente 070 Buenaventura,900000070,Constructora,Pacífico,Buenaventura,2022-10-13,Mediano,Activo
71,Cliente 071 Santa Marta,900000071,Empresa Industrial,Caribe,Santa Marta,2023-07-04,Mediano,Activo
72,Cliente 072 Pereira,900000072,Constructora,Eje Cafetero,Pereira,2023-08-18,Grande,Activo
73,Cliente 073 Pereira,900000073,Constructora,Eje Cafetero,Pereira,2022-11-18,Mediano,Activo
74,Cliente 074 Barrancabermeja,900000074,Cadena de Ferreterías,Santanderes,Barrancabermeja,2022-07-14,Pequeño,Inactivo
75,Cliente 075 Pereira,900000075,Comercializadora Local,Eje Cafetero,Pereira,2023-07-06,Mediano,Activo
76,Cliente 076 Pasto,900000076,Contratista Eléctrico,Pacífico,Pasto,2022-12-05,Pequeño,Activo
77,Cliente 077 Yopal,900000077,Comercializadora Local,Llanos,Yopal,2022-11-04,Grande,Activo
78,Cliente 078 Yopal,900000078,Comercializadora Local,Llanos,Yopal,2022-10-30,Mediano,Activo
79,Cliente 079 Villavicencio,900000079,Taller Automotriz,Llanos,Villavicencio,2023-11-25,Mediano,Inactivo
80,Cliente 080 Pasto,900000080,Contratista Eléctrico,Pacífico,Pasto,2022-10-21,Mediano,Activo
81,Cliente 081 Popayán,900000081,Cadena de Ferreterías,Pacífico,Popayán,2023-03-29,Mediano,Activo
82,Cliente 082 Barrancabermeja,900000082,Taller Automotriz,Santanderes,Barrancabermeja,2022-06-23,Mediano,Activo
83,Cliente 083 Santa Marta,900000083,Cadena de Ferreterías,Caribe,Santa Marta,2022-04-06,Mediano,Activo
84,Cliente 084 Pasto,900000084,Taller Automotriz,Pacífico,Pasto,2022-02-17,Grande,Activo
85,Cliente 085 Popayán,900000085,Cadena de Ferreterías,Pacífico,Popayán,2023-03-01,Grande,Activo
86,Cliente 086 Villavicencio,900000086,Comercializadora Local,Llanos,Villavicencio,2022-09-07,Mediano,Activo
87,Cliente 087 Cali,900000087,Constructora,Pacífico,Cali,2023-12-14,Mediano,Activo
88,Cliente 088 Yopal,900000088,Constructora,Llanos,Yopal,2022-05-05,Mediano,Inactivo
89,Cliente 089 Bucaramanga,900000089,Contratista Eléctrico,Santanderes,Bucaramanga,2023-09-02,Mediano,Inactivo
90,Cliente 090 Armenia,900000090,Cadena de Ferreterías,Eje Cafetero,Armenia,2023-03-13,Grande,Inactivo
91,Cliente 091 Yopal,900000091,Taller Automotriz,Llanos,Yopal,2022-09-23,Mediano,Activo
92,Cliente 092 Pasto,900000092,Cadena de Ferreterías,Pacífico,Pasto,2023-03-27,Mediano,Activo
93,Cliente 093 Santa Marta,900000093,Taller Automotriz,Caribe,Santa Marta,2023-07-08,Pequeño,Activo
94,Cliente 094 Cartagena,900000094,Taller Automotriz,Caribe,Cartagena,2023-12-25,Pequeño,Activo
95,Cliente 095 Cali,900000095,Contratista Eléctrico,Pacífico,Cali,2023-03-02,Mediano,Activo
96,Cliente 096 Cartagena,900000096,Contratista Eléctrico,Caribe,Cartagena,2023-12-14,Pequeño,Activo
97,Cliente 097 Sincelejo,900000097,Contratista Eléctrico,Caribe,Sincelejo,2022-11-02,Mediano,Inactivo
98,Cliente 098 Cúcuta,900000098,Cadena de Ferreterías,Santanderes,Cúcuta,2023-09-10,Mediano,Activo
99,Cliente 099 Popayán,900000099,Taller Automotriz,Pacífico,Popayán,2023-02-03,Pequeño,Activo
100,Cliente 100 Manizales,900000100,Comercializadora Local,Eje Cafetero,Manizales,2023-04-24,Mediano,Activo
101,Cliente 101 Cali,900000101,Contratista Eléctrico,Pacífico,Cali,2022-03-27,Mediano,Activo
102,Cliente 102 Bucaramanga,900000102,Contratista Eléctrico,Santanderes,Bucaramanga,2022-12-02,Pequeño,Activo
103,Cliente 103 Popayán,900000103,Empresa Industrial,Pacífico,Popayán,2022-10-12,Pequeño,Inactivo
104,Cliente 104 Cúcuta,900000104,Constructora,Santanderes,Cúcuta,2022-02-23,Mediano,Activo
105,Cliente 105 Pereira,900000105,Comercializadora Local,Eje Cafetero,Pereira,2022-02-11,Pequeño,Inactivo
106,Cliente 106 Cartagena,900000106,Taller Automotriz,Caribe,Cartagena,2022-09-02,Grande,Activo
107,Cliente 107 Popayán,900000107,Comercializadora Local,Pacífico,Popayán,2023-04-22,Pequeño,Inactivo
108,Cliente 108 Armenia,900000108,Taller Automotriz,Eje Cafetero,Armenia,2022-04-28,Mediano,Inactivo
109,Cliente 109 Pasto,900000109,Constructora,Pacífico,Pasto,2023-08-13,Mediano,Inactivo
110,Cliente 110 Cúcuta,900000110,Comercializadora Local,Santanderes,Cúcuta,2023-10-05,Pequeño,Activo
111,Cliente 111 Cali,900000111,Comercializadora Local,Pacífico,Cali,2023-09-07,Mediano,Inactivo
112,Cliente 112 Sincelejo,900000112,Constructora,Caribe,Sincelejo,2023-01-15,Pequeño,Activo
113,Cliente 113 Sincelejo,900000113,Comercializadora Local,Caribe,Sincelejo,2023-05-17,Pequeño,Activo
114,Cliente 114 Valledupar,900000114,Empresa Industrial,Caribe,Valledupar,2023-12-26,Mediano,Activo
115,Cliente 115 Popayán,900000115,Taller Automotriz,Pacífico,Popayán,2022-10-04,Mediano,Inactivo
116,Cliente 116 Arauca,900000116,Contratista Eléctrico,Llanos,Arauca,2023-08-30,Mediano,Activo
117,Cliente 117 Armenia,900000117,Taller Automotriz,Eje Cafetero,Armenia,2023-04-07,Grande,Activo
118,Cliente 118 Popayán,900000118,Cadena de Ferreterías,Pacífico,Popayán,2022-01-30,Mediano,Activo
119,Cliente 119 Cúcuta,900000119,Taller Automotriz,Santanderes,Cúcuta,2022-09-22,Mediano,Activo
120,Cliente 120 Armenia,900000120,Cadena de Ferreterías,Eje Cafetero,Armenia,2022-01-11,Mediano,Activo
121,Cliente 121 Villavicencio,900000121,Constructora,Llanos,Villavicencio,2023-07-23,Pequeño,Activo
122,Cliente 122 Popayán,900000122,Comercializadora Local,Pacífico,Popayán,2022-01-18,Mediano,Activo
123,Cliente 123 Santa Marta,900000123,Taller Automotriz,Caribe,Santa Marta,2023-11-11,Mediano,Activo
124,Cliente 124 Yopal,900000124,Contratista Eléctrico,Llanos,Yopal,2023-07-18,Mediano,Activo
125,Cliente 125 Armenia,900000125,Comercializadora Local,Eje Cafetero,Armenia,2022-08-25,Mediano,Activo
126,Cliente 126 Cartagena,900000126,Empresa Industrial,Caribe,Cartagena,2023-12-08,Pequeño,Activo
127,Cliente 127 Buenaventura,900000127,Taller Automotriz,Pacífico,Buenaventura,2023-08-27,Mediano,Activo
128,Cliente 128 Arauca,900000128,Empresa Industrial,Llanos,Arauca,2022-10-31,Grande,Activo
129,Cliente 129 Pasto,900000129,Taller Automotriz,Pacífico,Pasto,2022-05-10,Pequeño,Activo
130,Cliente 130 Pereira,900000130,Constructora,Eje Cafetero,Pereira,2022-05-10,Mediano,Activo
131,Cliente 131 Bucaramanga,900000131,Constructora,Santanderes,Bucaramanga,2023-03-28,Mediano,Activo
132,Cliente 132 Pereira,900000132,Constructora,Eje Cafetero,Pereira,2022-04-27,Pequeño,Inactivo
133,Cliente 133 Valledupar,900000133,Contratista Eléctrico,Caribe,Valledupar,2022-02-24,Pequeño,Activo
134,Cliente 134 Buenaventura,900000134,Cadena de Ferreterías,Pacífico,Buenaventura,2022-09-12,Grande,Activo
135,Cliente 135 Sincelejo,900000135,Contratista Eléctrico,Caribe,Sincelejo,2022-08-20,Mediano,Activo
136,Cliente 136 Yopal,900000136,Contratista Eléctrico,Llanos,Yopal,2023-08-26,Grande,Activo
137,Cliente 137 Cúcuta,900000137,Cadena de Ferreterías,Santanderes,Cúcuta,2022-04-12,Mediano,Activo
138,Cliente 138 Buenaventura,900000138,Empresa Industrial,Pacífico,Buenaventura,2022-06-27,Mediano,Activo
139,Cliente 139 Villavicencio,900000139,Taller Automotriz,Llanos,Villavicencio,2023-09-01,Pequeño,Activo
140,Cliente 140 Cúcuta,900000140,Constructora,Santanderes,Cúcuta,2023-12-21,Pequeño,Activo
141,Cliente 141 Bucaramanga,900000141,Comercializadora Local,Santanderes,Bucaramanga,2023-10-03,Pequeño,Activo
142,Cliente 142 Arauca,900000142,Taller Automotriz,Llanos,Arauca,2023-10-26,Mediano,Activo
143,Cliente 143 Pasto,900000143,Taller Automotriz,Pacífico,Pasto,2022-11-11,Pequeño,Activo
144,Cliente 144 Arauca,900000144,Cadena de Ferreterías,Llanos,Arauca,2023-04-25,Grande,Activo
145,Cliente 145 Manizales,900000145,Contratista Eléctrico,Eje Cafetero,Manizales,2023-05-21,Grande,Activo
146,Cliente 146 Bucaramanga,900000146,Cadena de Ferreterías,Santanderes,Bucaramanga,2022-11-27,Pequeño,Activo
147,Cliente 147 Yopal,900000147,Constructora,Llanos,Yopal,2023-08-13,Pequeño,Inactivo
148,Cliente 148 Villavicencio,900000148,Comercializadora Local,Llanos,Villavicencio,2022-06-29,Grande,Activo
149,Cliente 149 Barrancabermeja,900000149,Comercializadora Local,Santanderes,Barrancabermeja,2023-08-23,Mediano,Activo
150,Cliente 150 Barrancabermeja,900000150,Contratista Eléctrico,Santanderes,Barrancabermeja,2023-02-23,Grande,Activo
151,Cliente 151 Armenia,900000151,Comercializadora Local,Eje Cafetero,Armenia,2023-02-26,Pequeño,Activo
152,Cliente 152 Cúcuta,900000152,Comercializadora Local,Santanderes,Cúcuta,2023-07-18,Grande,Activo
153,Cliente 153 Valledupar,900000153,Constructora,Caribe,Valledupar,2023-02-18,Pequeño,Activo
154,Cliente 154 Villavicencio,900000154,Comercializadora Local,Llanos,Villavicencio,2022-02-25,Grande,Activo
155,Cliente 155 Pasto,900000155,Cadena de Ferreterías,Pacífico,Pasto,2022-02-22,Mediano,Activo
156,Cliente 156 Pasto,900000156,Cadena de Ferreterías,Pacífico,Pasto,2023-12-17,Pequeño,Activo
157,Cliente 157 Bucaramanga,900000157,Constructora,Santanderes,Bucaramanga,2022-09-03,Grande,Activo
158,Cliente 158 Pasto,900000158,Cadena de Ferreterías,Pacífico,Pasto,2022-08-19,Pequeño,Activo
159,Cliente 159 Valledupar,900000159,Constructora,Caribe,Valledupar,2022-10-26,Mediano,Activo
160,Cliente 160 Arauca,900000160,Empresa Industrial,Llanos,Arauca,2023-04-29,Mediano,Activo
161,Cliente 161 Popayán,900000161,Cadena de Ferreterías,Pacífico,Popayán,2023-09-06,Pequeño,Activo
162,Cliente 162 Arauca,900000162,Taller Automotriz,Llanos,Arauca,2023-03-01,Grande,Activo
163,Cliente 163 Manizales,900000163,Empresa Industrial,Eje Cafetero,Manizales,2022-11-02,Grande,Activo
164,Cliente 164 Arauca,900000164,Comercializadora Local,Llanos,Arauca,2023-07-06,Mediano,Activo
165,Cliente 165 Cúcuta,900000165,Empresa Industrial,Santanderes,Cúcuta,2023-04-12,Mediano,Activo
166,Cliente 166 Pereira,900000166,Comercializadora Local,Eje Cafetero,Pereira,2023-02-25,Pequeño,Activo
167,Cliente 167 Santa Marta,900000167,Comercializadora Local,Caribe,Santa Marta,2023-01-26,Mediano,Inactivo
168,Cliente 168 Barrancabermeja,900000168,Comercializadora Local,Santanderes,Barrancabermeja,2022-02-07,Grande,Activo
169,Cliente 169 Pasto,900000169,Constructora,Pacífico,Pasto,2023-06-23,Grande,Activo
170,Cliente 170 Bucaramanga,900000170,Comercializadora Local,Santanderes,Bucaramanga,2022-06-08,Pequeño,Inactivo
171,Cliente 171 Valledupar,900000171,Empresa Industrial,Caribe,Valledupar,2023-10-28,Pequeño,Activo
172,Cliente 172 Santa Marta,900000172,Comercializadora Local,Caribe,Santa Marta,2022-11-21,Grande,Activo
173,Cliente 173 Barrancabermeja,900000173,Constructora,Santanderes,Barrancabermeja,2023-12-02,Mediano,Activo
174,Cliente 174 Pereira,900000174,Comercializadora Local,Eje Cafetero,Pereira,2023-10-11,Pequeño,Inactivo
175,Cliente 175 Valledupar,900000175,Taller Automotriz,Caribe,Valledupar,2022-02-17,Mediano,Inactivo
176,Cliente 176 Pereira,900000176,Empresa Industrial,Eje Cafetero,Pereira,2022-09-08,Pequeño,Activo
177,Cliente 177 Yopal,900000177,Cadena de Ferreterías,Llanos,Yopal,2022-06-29,Mediano,Activo
178,Cliente 178 Sincelejo,900000178,Contratista Eléctrico,Caribe,Sincelejo,2023-08-21,Mediano,Activo
179,Cliente 179 Buenaventura,900000179,Contratista Eléctrico,Pacífico,Buenaventura,2023-11-14,Mediano,Activo
180,Cliente 180 Valledupar,900000180,Empresa Industrial,Caribe,Valledupar,2023-03-29,Mediano,Activo
181,Cliente 181 Manizales,900000181,Empresa Industrial,Eje Cafetero,Manizales,2022-09-14,Mediano,Activo
182,Cliente 182 Cúcuta,900000182,Taller Automotriz,Santanderes,Cúcuta,2022-04-20,Grande,Inactivo
183,Cliente 183 Popayán,900000183,Cadena de Ferreterías,Pacífico,Popayán,2023-12-18,Pequeño,Activo
184,Cliente 184 Pereira,900000184,Comercializadora Local,Eje Cafetero,Pereira,2023-12-04,Pequeño,Activo
185,Cliente 185 Sincelejo,900000185,Comercializadora Local,Caribe,Sincelejo,2022-10-21,Mediano,Inactivo
186,Cliente 186 Pasto,900000186,Taller Automotriz,Pacífico,Pasto,2023-11-26,Mediano,Activo
187,Cliente 187 Cali,900000187,Comercializadora Local,Pacífico,Cali,2023-03-28,Mediano,Activo
188,Cliente 188 Sincelejo,900000188,Empresa Industrial,Caribe,Sincelejo,2022-10-30,Mediano,Activo
189,Cliente 189 Manizales,900000189,Contratista Eléctrico,Eje Cafetero,Manizales,2023-07-07,Pequeño,Activo
190,Cliente 190 Manizales,900000190,Cadena de Ferreterías,Eje Cafetero,Manizales,2022-09-21,Grande,Activo
191,Cliente 191 Cúcuta,900000191,Comercializadora Local,Santanderes,Cúcuta,2023-04-25,Grande,Activo
192,Cliente 192 Cartagena,900000192,Taller Automotriz,Caribe,Cartagena,2023-02-11,Grande,Activo
193,Cliente 193 Yopal,900000193,Constructora,Llanos,Yopal,2023-07-04,Mediano,Activo
194,Cliente 194 Valledupar,900000194,Empresa Industrial,Caribe,Valledupar,2023-08-22,Mediano,Activo
195,Cliente 195 Barrancabermeja,900000195,Empresa Industrial,Santanderes,Barrancabermeja,2022-01-26,Pequeño,Activo
196,Cliente 196 Arauca,900000196,Empresa Industrial,Llanos,Arauca,2022-03-06,Grande,Activo
197,Cliente 197 Barrancabermeja,900000197,Empresa Industrial,Santanderes,Barrancabermeja,2022-02-16,Mediano,Activo
198,Cliente 198 Santa Marta,900000198,Contratista Eléctrico,Caribe,Santa Marta,2023-07-05,Pequeño,Activo
199,Cliente 199 Popayán,900000199,Contratista Eléctrico,Pacífico,Popayán,2023-12-15,Pequeño,Inactivo
200,Cliente 200 Yopal,900000200,Cadena de Ferreterías,Llanos,Yopal,2023-03-01,Mediano,Activo
201,Cliente 201 Valledupar,900000201,Cadena de Ferreterías,Caribe,Valledupar,2022-02-03,Mediano,Inactivo
202,Cliente 202 Pereira,900000202,Contratista Eléctrico,Eje Cafetero,Pereira,2023-01-07,Mediano,Activo
203,Cliente 203 Santa Marta,900000203,Cadena de Ferreterías,Caribe,Santa Marta,2022-03-04,Grande,Activo
204,Cliente 204 Cúcuta,900000204,Taller Automotriz,Santanderes,Cúcuta,2023-04-11,Grande,Inactivo
205,Cliente 205 Cartagena,900000205,Comercializadora Local,Caribe,Cartagena,2022-02-21,Mediano,Inactivo
206,Cliente 206 Pereira,900000206,Taller Automotriz,Eje Cafetero,Pereira,2023-07-22,Mediano,Activo
207,Cliente 207 Buenaventura,900000207,Taller Automotriz,Pacífico,Buenaventura,2023-09-03,Pequeño,Activo
208,Cliente 208 Santa Marta,900000208,Taller Automotriz,Caribe,Santa Marta,2022-06-28,Grande,Activo
209,Cliente 209 Barranquilla,900000209,Taller Automotriz,Caribe,Barranquilla,2022-09-01,Pequeño,Activo
210,Cliente 210 Yopal,900000210,Constructora,Llanos,Yopal,2023-03-08,Pequeño,Activo
211,Cliente 211 Villavicencio,900000211,Comercializadora Local,Llanos,Villavicencio,2023-01-06,Pequeño,Activo
212,Cliente 212 Arauca,900000212,Constructora,Llanos,Arauca,2023-09-22,Mediano,Activo
213,Cliente 213 Sincelejo,900000213,Empresa Industrial,Caribe,Sincelejo,2022-03-04,Mediano,Inactivo
214,Cliente 214 Cúcuta,900000214,Contratista Eléctrico,Santanderes,Cúcuta,2023-03-31,Mediano,Activo
215,Cliente 215 Barranquilla,900000215,Empresa Industrial,Caribe,Barranquilla,2022-10-09,Mediano,Activo
216,Cliente 216 Arauca,900000216,Cadena de Ferreterías,Llanos,Arauca,2023-09-04,Mediano,Activo
217,Cliente 217 Yopal,900000217,Contratista Eléctrico,Llanos,Yopal,2023-12-20,Mediano,Activo
218,Cliente 218 Sincelejo,900000218,Comercializadora Local,Caribe,Sincelejo,2022-08-22,Grande,Activo
219,Cliente 219 Cúcuta,900000219,Contratista Eléctrico,Santanderes,Cúcuta,2022-11-17,Pequeño,Activo
220,Cliente 220 Cúcuta,900000220,Comercializadora Local,Santanderes,Cúcuta,2023-12-05,Pequeño,Inactivo
